step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.319,,0.566,29.758,627.8643465909091,809.1875,6.515151515151516,86.0,806.6062973484849,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.561,,0.706,53.576,739.1982593201755,935.56640625,3.771929824561404,86.0,803.8806195175439,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4196187257766724,0.017828216776251793,0.009737557731568813
90000,0.451,,0.602,77.216,784.297705078125,937.07421875,2.6875,86.0,802.37197265625,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4199682474136353,0.020076336339116096,0.0022753106895834208
120000,0.621,,0.62,100.401,810.4824408373786,939.015625,2.087378640776699,86.0,801.8210709951456,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4219375848770142,0.021924074739217758,0.0015179916517809033
150000,0.538,,0.82,123.974,827.8236958661417,939.83984375,1.6929133858267718,86.0,801.4862819881889,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.423789381980896,0.015778858214616776,0.001837943447753787
180000,0.794,,0.799,147.557,838.6329166666667,939.83984375,1.4333333333333331,86.0,801.2750520833333,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4225825071334839,0.014736293815076351,0.0019015949219465256
210000,0.916,,0.996,171.211,847.1629175646551,939.83984375,1.235632183908046,86.0,801.0963092672414,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4222729206085205,0.018248222768306732,0.002076751086860895
240000,0.825,,1.298,194.395,854.7961809961929,939.83984375,1.0913705583756346,86.0,800.9806868654822,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4202992916107178,0.01599341258406639,0.002506544813513756
270000,1.061,,1.458,217.815,859.5808061079546,940.77734375,0.9772727272727272,86.0,800.9017400568182,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.418960452079773,0.016515010967850685,0.0025380731094628572
300000,1.426,,1.748,241.486,863.3969103652263,940.77734375,0.8847736625514403,86.0,800.8310506687243,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4176843166351318,0.016912447288632393,0.0036106077022850513
330000,1.768,,2.017,265.09,868.0147618211611,940.77734375,0.8052434456928839,86.0,800.7575198970037,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4168050289154053,0.01342934649437666,0.003961185459047556
360000,2.237,,2.531,288.821,869.828677262931,940.77734375,0.7413793103448276,86.0,800.6700700431035,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4143880605697632,0.018476201221346855,0.0065696160309016705
390000,3.817,,3.567,312.169,869.8416724721337,940.77734375,0.6847133757961783,86.0,800.6114898487261,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4127795696258545,0.017655858770012856,0.008654367178678513
420000,5.121,,4.412,335.445,869.7318944732938,940.77734375,0.6379821958456974,86.0,800.5777308976261,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4104689359664917,0.012992197647690773,0.01393868587911129
450000,8.986,,4.941,358.994,869.7270941840278,940.77734375,0.5972222222222222,86.0,800.5448133680555,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4083778858184814,0.014764252118766308,0.02097194641828537
480000,9.713,,7.096,382.575,869.7532535084856,940.77734375,0.5613577023498695,86.0,800.7009015992168,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4059861898422241,0.013994775712490082,0.0381847582757473
510000,14.143,,7.42,406.218,869.8201781326782,940.77734375,0.5282555282555282,86.0,800.8014626842752,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4041612148284912,0.01627909019589424,0.04235313832759857
540000,18.3,,6.936,429.694,871.2391260901163,940.77734375,0.5,86.0,800.878797238372,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.401479721069336,0.015262636356055737,0.06375418603420258
570000,16.912,,11.545,453.232,872.0142569520925,940.77734375,0.473568281938326,86.0,800.9293949614538,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.398025631904602,0.017088424414396286,0.10075703263282776
600000,24.122,,13.502,476.745,872.5749967243187,940.77734375,0.450733752620545,86.0,800.9196966719078,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.394243597984314,0.01767662726342678,0.09501554071903229
630000,31.539,,12.034,500.339,873.214859375,940.77734375,0.43,86.0,800.918140625,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.390454888343811,0.017781035974621773,0.14029671251773834
660000,40.969,,11.604,523.638,873.7208000357824,940.77734375,0.4103053435114503,86.0,800.8979156727099,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3858768939971924,0.017258359119296074,0.1947399377822876
690000,47.918,,13.84,547.115,874.4456624200183,940.77734375,0.3930530164533821,86.0,800.8905535877514,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3815686702728271,0.019553417339920998,0.23390494287014008
720000,52.177,,13.793,570.666,874.7834018640351,940.77734375,0.3771929824561403,86.0,800.8904742324561,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.377351999282837,0.016710108146071434,0.2610935568809509
750000,61.501,,18.115,594.065,875.2180056387015,940.77734375,0.3625632377740304,86.0,800.8783858558179,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3732192516326904,0.015314308926463127,0.29576826095581055
780000,66.082,,18.681,617.459,875.7642131786872,940.77734375,0.3484602917341977,86.0,800.8709607982172,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3680769205093384,0.01913127861917019,0.36646270751953125
810000,79.11,,19.051,640.844,876.2371948242187,940.77734375,0.3359375,86.0,800.8673950195313,825.375,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3630626201629639,0.01473122276365757,0.4075506627559662
