step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.302,,0.566,26.137,656.9542025862069,824.51953125,6.427586206896552,71.7,1100.981411637931,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.341,,0.615,50.846,752.3724204009434,939.51953125,3.516981132075472,71.7,1102.118366745283,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4187110662460327,0.014859295450150967,0.008586207404732704
90000,0.182,,0.299,76.079,795.2861578525641,939.51953125,2.3897435897435897,71.7,1102.2596153846157,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4191396236419678,0.019748777151107788,0.0015703010139986873
120000,0.494,,0.746,101.108,817.7563713592233,946.0234375,1.8097087378640777,71.7,1102.2109375,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4194968938827515,0.017455359920859337,0.000920633552595973
150000,0.283,,0.542,126.349,828.2147827148438,946.0234375,1.45625,71.7,1100.6807861328125,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.418910264968872,0.018055319786071777,0.0014860710361972451
180000,0.433,,0.655,151.743,835.2834712009804,946.0234375,1.2183006535947714,71.7,1099.4660437091504,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.416968584060669,0.016504554077982903,0.001004072604700923
210000,0.557,,0.723,176.724,839.6767907303371,946.0234375,1.047191011235955,71.7,1098.5222963483145,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4172890186309814,0.01703730784356594,0.0017303233034908772
240000,0.387,,0.686,201.979,845.7594866071429,946.0234375,0.9182266009852216,71.7,1097.7494227216748,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4166791439056396,0.021878952160477638,0.0013863315107300878
270000,1.242,,1.429,227.456,848.3937945449561,946.0234375,0.8175438596491228,71.7,1096.5980674342106,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4161698818206787,0.017396140843629837,0.0012894003884866834
300000,0.752,,1.186,252.83,851.0642224409448,946.0234375,0.7338582677165355,71.7,1095.3764763779527,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.414663553237915,0.01658133789896965,0.0043403287418186665
330000,1.124,,1.599,278.201,851.5516633064516,946.0234375,0.6681003584229391,71.7,1094.4165826612902,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4139549732208252,0.0167511235922575,0.0029405015520751476
360000,1.809,,2.087,303.65,850.0164859169408,946.0234375,0.6131578947368421,71.7,1093.614566200658,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4122035503387451,0.01963760331273079,0.004040838684886694
390000,2.271,,2.159,329.156,849.0232950227963,946.0234375,0.566565349544073,71.7,1092.9344367401216,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.410914659500122,0.016257937997579575,0.007548278663307428
420000,1.751,,1.504,354.424,848.5162429378531,946.0234375,0.5265536723163842,71.7,1092.350370762712,1108.4453125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4101892709732056,0.015214376151561737,0.010010244324803352
