step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.328,,0.599,26.179,659.0206088362069,822.01171875,5.413793103448276,86.0,1232.0426993534484,1241.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.418938398361206,,
60000,0.257,,0.401,86.619,880.9535200140449,1053.75,1.7640449438202248,86.0,1235.2026422050562,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.41206955909729,0.012821778655052185,0.007200318388640881
90000,0.237,,0.443,104.028,897.413657134434,1053.75,1.481132075471698,86.0,1235.4041126179245,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.405090093612671,,
120000,0.281,,0.471,160.959,935.9982397762344,1062.3671875,0.9691358024691358,86.0,1235.2788869598764,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3967682123184204,0.012580057606101036,0.0009995927102863789
150000,0.562,,0.706,219.175,957.3643288352272,1062.3671875,0.7136363636363636,86.0,1234.8375,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3925074338912964,0.012112170457839966,0.0008529315236955881
180000,0.288,,0.479,236.934,959.7321756827732,1062.3671875,0.6596638655462185,86.0,1234.4426536239496,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3881779909133911,,
210000,0.159,,0.296,293.912,970.5269850127552,1062.3671875,0.5340136054421769,86.0,1233.1180112670068,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.37893807888031,0.013100837357342243,0.0008418273064307868
240000,0.157,,0.341,351.795,980.2777210582386,1062.3671875,0.4460227272727273,86.0,1232.1903852982955,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3761783838272095,0.012936359271407127,0.0004096119664609432
270000,0.361,,0.663,369.249,980.3407118055557,1062.3671875,0.4254742547425474,86.0,1231.9737571985097,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3733742237091064,,
300000,0.458,,0.668,426.026,985.9746691176472,1062.3671875,0.3694117647058823,86.0,1231.4484834558823,1263.18359375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.364676833152771,0.01295198779553175,0.0005968602490611374
