step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.45,,0.728,27.779,688.4026041666667,891.01953125,5.23,85.2,1337.9578125,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4189831018447876,0.017333852127194405,0.014780530706048012
60000,0.233,,0.439,48.753,764.2898284313726,893.0546875,3.0764705882352943,85.2,1334.7341452205883,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4192376136779785,0.02070687524974346,0.005769604817032814
90000,0.493,,0.718,72.97,801.1903645833333,899.703125,2.092,85.2,1330.63265625,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4196906089782715,0.01762012206017971,0.0038474570028483868
120000,0.439,,0.674,93.618,816.3090460526316,899.703125,1.651578947368421,85.2,1328.6894325657895,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4201847314834595,0.011153217405080795,0.002892899326980114
150000,0.35,,0.469,117.79,829.268874737395,901.3359375,1.3184873949579832,85.2,1327.219767594538,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4206311702728271,0.01761564612388611,0.0023374774027615786
180000,0.285,,0.618,138.419,833.8932666366907,901.72265625,1.1287769784172663,85.2,1326.382728192446,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4211076498031616,0.014662792906165123,0.0017646123887971044
210000,0.422,,0.576,159.154,838.69833984375,904.53515625,0.980625,85.2,1325.729052734375,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4214040040969849,0.016307124868035316,0.0021740724332630634
240000,0.279,,0.392,183.078,843.0786981997283,904.53515625,0.8527173913043479,85.2,1325.164699388587,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4217250347137451,0.018026933073997498,0.0017147809267044067
270000,0.38,,0.484,203.75,845.5632850796569,904.53515625,0.7691176470588236,85.2,1324.795840992647,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4220349788665771,0.01597237028181553,0.0015499466098845005
300000,0.406,,0.562,227.985,848.3930407072369,905.8359375,0.6881578947368421,85.2,1324.438630756579,1348.30859375,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4223580360412598,0.017366476356983185,0.0018543449696153402
