step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
260000,-1.0,,0.0,692.423,1210.808746382055,1415.15625,89.88335745296669,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.2189996242523193,-0.6866350769996643,6.86028897689539e-07
270000,-1.0,,0.0,719.705,1218.3106067200556,1415.15625,89.84735376044567,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.1725409030914307,-0.6419558525085449,7.182572403507947e-07
280000,-1.0,,0.0,748.834,1225.789825970549,1415.15625,89.79785809906284,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.1283605098724365,-0.5979633927345276,7.026550292721367e-07
290000,-1.0,,0.0,774.238,1231.9597954398448,1416.34375,89.73906856403615,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.086527705192566,-0.5579448342323303,6.235150635802711e-07
300000,-1.0,,0.0,801.571,1237.92181640625,1416.34375,89.71799999999993,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.0441086292266846,-0.5212641358375549,4.771578687723377e-07
310000,-1.0,,0.0,828.953,1243.5140946191052,1416.34375,89.69480048367586,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.9528231024742126,-0.484669029712677,5.465912522595318e-07
320000,-1.0,,0.0,858.399,1249.3462842765462,1416.34375,89.65705950991823,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.8695477843284607,-0.4486677348613739,4.489453999667603e-07
330000,-1.0,,0.0,883.753,1253.897551729025,1416.421875,89.62981859410422,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.854526698589325,-0.416034072637558,3.455751595993206e-07
340000,-1.0,,0.0,911.17,1258.5203864136413,1416.421875,89.61221122112207,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.8566458225250244,-0.386081337928772,4.2074529460478516e-07
350000,-1.0,,0.0,938.569,1262.8773704594016,1416.421875,89.60106837606833,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,0.7863364219665527,-0.3561570942401886,3.4821104577531514e-07
