step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
10000,0.0,0.254,,39.808,866.0674542682926,1016.40625,52.03414634146342,315.9,,
20000,0.0,-0.028,,74.836,973.3579358552631,1144.890625,51.40394736842106,315.9,,
30000,0.0,0.0,,90.622,1007.0025475543479,1175.5625,51.53804347826087,315.9,,
40000,0.0,-0.153,,137.03,1193.075973731884,1783.296875,69.93623188405799,315.9,,
50000,0.0,0.0,,166.759,1243.8334263392858,1783.296875,66.51964285714287,315.9,,
60000,0.0,-0.014,,204.663,1292.8273665048544,1783.296875,63.47184466019417,315.9,,
70000,0.0,-0.333,,258.735,1379.9563100961539,1851.578125,72.65346153846153,315.9,,
80000,0.0,0.0,,273.452,1396.312385948905,1851.578125,71.57846715328466,315.9,,
90000,0.0,0.112,,302.035,1426.1601691419141,1851.578125,69.57128712871285,315.9,,
100000,0.0,0.188,,343.404,1466.8944858284883,1890.453125,74.98720930232558,315.9,,
110000,0.0,-0.034,,377.991,1489.9960317460318,1890.453125,72.73968253968253,315.9,,
120000,0.0,0.0,,398.115,1502.3034539473683,1890.453125,71.5982456140351,315.9,,
130000,0.0,0.013,,423.665,1515.368735259434,1890.453125,70.39528301886793,315.9,,
140000,0.0,-0.255,,465.003,1540.7251680107527,1963.078125,74.47612903225811,315.9,,
150000,0.0,-0.167,,493.776,1553.2695470647773,1963.078125,73.07530364372477,315.9,,
160000,0.0,-0.014,,528.206,1558.4144767992425,1963.078125,71.56893939393944,315.9,,
170000,0.0,-0.132,,568.298,1570.4813765404929,1963.078125,74.67024647887327,315.9,,
180000,0.0,0.109,,588.673,1574.7954424872667,1963.078125,73.83531409168087,315.9,,
190000,0.0,-0.22,,612.601,1579.1907679738563,1963.078125,72.97483660130722,315.9,,
200000,0.0,-0.417,,663.523,1595.1008201357465,1963.078125,75.1981900452489,315.9,,
210000,0.0,0.077,,698.814,1604.092630730659,1963.078125,73.92578796561607,315.9,,
220000,0.0,0.0,,720.948,1609.3112413194444,1963.078125,73.22111111111114,315.9,,
230000,0.0,-0.218,,766.488,1622.4933909921672,1963.078125,75.31671018276766,315.9,,
240000,0.0,-0.167,,795.817,1627.9982704402516,1963.078125,74.40779874213838,315.9,,
250000,0.0,-0.167,,816.493,1628.1555032169117,1963.078125,73.81973039215688,315.9,,
260000,0.0,0.126,,876.399,1638.8015535714285,1963.078125,75.25828571428573,315.9,,
270000,0.0,0.118,,892.81,1641.4203685538116,1963.078125,74.80919282511215,315.9,,
280000,0.0,-0.128,,921.84,1644.9614719055376,1963.078125,74.05613463626496,315.9,,
290000,0.0,-0.107,,966.574,1653.0234455958548,1963.078125,75.69792746113994,315.9,,
300000,0.0,0.061,,983.182,1655.273055626273,1963.078125,75.27841140529537,315.9,,
310000,0.0,-0.105,,1026.791,1660.6405030487804,1963.078125,74.21775609756104,315.9,,
320000,0.0,0.074,,1070.332,1668.0576911833489,1966.40625,75.66033676333028,315.9,,
330000,0.0,0.183,,1093.415,1670.8293126144688,1966.40625,75.14093406593416,315.9,,
340000,0.0,-0.462,,1106.317,1672.3452912895928,1966.40625,74.87565610859737,315.9,,
350000,0.0,-0.262,,1139.082,1675.9292408751098,1966.40625,74.17176781002647,315.9,,
360000,0.0,-0.25,,1196.633,1683.70964958159,1967.359375,75.16753138075325,315.9,,
370000,0.0,-0.091,,1210.962,1685.0637923904053,1967.359375,74.90438378825489,315.9,,
380000,0.0,-0.011,,1234.129,1687.2235186688313,1967.359375,74.45625000000015,315.9,,
390000,0.0,-0.007,,1283.917,1693.4103573517941,1967.8125,75.54672386895489,315.9,,
400000,0.0,0.347,,1307.169,1695.306896551724,1967.8125,75.10521072796948,315.9,,
410000,0.0,-0.029,,1343.325,1698.1458216815809,1967.8125,74.43310961968696,315.9,,
420000,0.0,-0.058,,1389.479,1703.3363712148523,1968.09375,75.50576784426839,315.9,,
430000,0.0,-0.054,,1415.714,1705.1423168789809,1968.09375,75.04932767162086,315.9,,
440000,0.0,-0.198,,1437.981,1706.6285169860628,1968.09375,74.68062717770053,315.9,,
450000,0.0,0.16,,1475.301,1710.3592477087577,1969.90625,75.82511880515972,315.9,,
460000,0.0,-0.388,,1511.517,1712.5721711398278,1969.90625,75.20145791915195,315.9,,
470000,0.0,-0.075,,1543.621,1714.4525673264113,1969.90625,74.67365347177179,315.9,,
480000,0.0,-0.167,,1589.126,1715.7097848360656,1969.9375,75.60000000000021,315.9,,
490000,0.0,0.084,,1605.555,1713.8140020287142,1969.9375,75.35611735330858,315.9,,
500000,0.0,-0.037,,1628.153,1711.0958269230769,1969.9375,75.00301538461561,315.9,,
510000,0.0,-0.338,,1686.591,1707.3778594771243,1969.9375,75.67094474153318,315.9,,
520000,0.0,0.0,,1716.148,1705.8706946876823,1969.9375,75.21990659661431,315.9,,
530000,0.0,-0.039,,1734.908,1704.991731658001,1969.9375,74.97192374350105,315.9,,
540000,0.0,-0.052,,1780.397,1704.0411332301633,1969.9375,75.77703995498051,315.9,,
550000,0.0,0.041,,1800.747,1703.2742157067335,1969.9375,75.50790205898744,315.9,,
560000,0.0,-0.187,,1838.597,1701.888836852861,1969.9375,74.97738419618554,315.9,,
570000,0.0,0.06,,1860.54,1701.1127238152935,1969.9375,74.69359181475522,315.9,,
580000,0.0,-0.268,,1909.637,1700.518338470619,1969.9375,75.41400839454374,315.9,,
590000,0.0,0.0,,1926.653,1699.9526699817993,1969.9375,75.20603224128983,315.9,,
600000,0.0,-0.294,,1956.672,1699.0104700307377,1969.9375,74.83560450819695,315.9,,
610000,0.0,0.0,,2009.486,1697.91115180798,1969.9375,75.46004987531197,315.9,,
620000,0.0,-0.072,,2041.977,1695.8112963076546,1969.9375,75.05598626104047,315.9,,
630000,0.0,-0.145,,2063.408,1694.6509834871297,1969.9375,74.8103448275864,315.9,,
640000,0.0,0.01,,2106.048,1693.6087949190862,1969.9375,75.57682056163755,315.9,,
650000,0.0,0.125,,2134.747,1691.9820936032863,1969.9375,75.23643192488287,315.9,,
660000,0.0,-0.031,,2152.788,1691.0314318552141,1969.9375,75.03924581005612,315.9,,
670000,0.0,-0.111,,2211.093,1689.497945942883,1969.9375,75.55126926563939,315.9,,
680000,0.0,-0.308,,2232.328,1688.7536203412662,1969.9375,75.31805118994185,315.9,,
690000,0.0,-0.273,,2258.979,1686.727241847826,1969.9375,75.01952085181922,315.9,,
700000,0.0,-0.48,,2299.845,1685.6541122004357,1969.9375,75.71995642701548,315.9,,
710000,0.0,-0.117,,2330.462,1684.678991935484,1969.9375,75.39587096774217,315.9,,
720000,0.0,-0.103,,2366.324,1683.1899023189326,1969.9375,75.0115628970777,315.9,,
730000,0.0,-0.046,,2406.352,1682.8240837151186,1969.9375,75.68942107455246,315.9,,
740000,0.0,-0.342,,2431.824,1682.0926937345425,1969.9375,75.43470733718074,315.9,,
750000,0.0,0.089,,2458.628,1681.3311506318794,1969.9375,75.16208724011435,315.9,,
760000,0.0,0.105,,2499.507,1681.2059380012029,1969.9375,75.82943063352064,315.9,,
770000,0.0,-0.184,,2535.001,1680.4873097073942,1969.9375,75.47746144721253,315.9,,
780000,0.0,0.058,,2554.727,1680.085560513927,1969.9375,75.2994899960771,315.9,,
790000,0.0,-0.102,,2604.271,1680.2026979888376,1969.9375,75.85446497305645,315.9,,
800000,0.0,-0.298,,2630.224,1679.9379525533536,1969.9375,75.60270579268318,315.9,,
810000,0.0,-0.052,,2648.853,1679.7551433030646,1969.9375,75.42833900870248,315.9,,
820000,0.0,-0.112,,2677.368,1679.5392233713965,1969.9375,75.16278547360561,315.9,,
830000,0.0,-0.216,,2729.172,1679.9125734484026,1969.9375,75.63455747337514,315.9,,
840000,0.0,0.147,,2749.672,1679.768125683558,1969.9375,75.45818446955906,315.9,,
850000,0.0,-0.436,,2778.638,1679.56282129329,1969.9375,75.1971861471863,315.9,,
860000,0.0,-0.211,,2822.878,1680.0506980202415,1969.9375,75.72301136363652,315.9,,
870000,0.0,-0.349,,2856.777,1679.8642489035087,1969.9375,75.4185263157896,315.9,,
880000,0.0,0.029,,2878.838,1679.7689382399026,1969.9375,75.22768105849597,315.9,,
890000,0.0,-0.471,,2925.31,1680.287370416381,1969.9375,75.71267991775204,315.9,,
900000,0.0,-0.093,,2942.04,1680.2450702725723,1969.9375,75.5668483816015,315.9,,
910000,0.0,-0.2,,2973.526,1680.169183032704,1969.9375,75.3065070802429,315.9,,
920000,0.0,-0.062,,3033.344,1680.7308586004626,1969.9375,75.65052875082628,315.9,,
930000,0.0,0.162,,3054.444,1680.6775414341976,1969.9375,75.48089924515928,315.9,,
940000,0.0,-0.326,,3070.061,1680.6374367450212,1969.9375,75.35680705191001,315.9,,
950000,0.0,0.0,,3123.278,1681.2455572047497,1969.9375,75.74980744544298,315.9,,
960000,0.0,-0.308,,3150.498,1681.1845221524022,1969.9375,75.53312122176274,315.9,,
970000,0.0,-0.3,,3190.132,1681.0983265241987,1969.9375,75.2152419861723,315.9,,
980000,0.0,-0.182,,3225.344,1681.66533260802,1969.9375,75.75010879701595,315.9,,
990000,0.0,-0.172,,3255.063,1681.604471435171,1969.9375,75.51145672928867,315.9,,
1000000,0.0,0.0,,3282.944,1681.5487070610686,1969.9375,75.2957557251909,315.9,,
