step,mean_reward,mean_group_reward,std_reward,time_elapsed,run_id,environment,algorithm,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
1530000,873.516,,52.626,4280.37,worm_sac_run1,unknown,sac,1394.6590169270833,1739.39453125,0.026930320150659135,86.0,620.7370518111464,1150.6953125
1560000,897.088,,65.593,4361.715,worm_sac_run1,unknown,sac,1395.395429082929,1739.39453125,0.02642642642642643,86.0,623.8679544929545,1150.6953125
1590000,912.899,,33.592,4446.816,worm_sac_run1,unknown,sac,1396.1401275351236,1739.39453125,0.025923408112395196,86.0,627.1377269572853,1150.6953125
1620000,911.746,,55.859,4533.551,worm_sac_run1,unknown,sac,1397.195270824072,1739.39453125,0.0254278728606357,86.0,630.3272498055123,1150.6953125
1650000,902.29,,45.236,4622.67,worm_sac_run1,unknown,sac,1398.0866365041957,1739.39453125,0.024934612031386225,86.0,633.7900254400065,1150.6953125
1680000,924.716,,62.64,4710.31,worm_sac_run1,unknown,sac,1398.9425785427807,1739.39453125,0.02447058823529412,86.0,636.5911798128342,1150.6953125
1710000,942.33,,60.284,4794.026,worm_sac_run1,unknown,sac,1399.96308766157,1739.39453125,0.024043715846994537,86.0,638.5723116001997,1150.6953125
1740000,948.81,,53.418,4876.548,worm_sac_run1,unknown,sac,1400.89663169689,1739.39453125,0.023641248191775162,86.0,640.4401800475305,1150.6953125
1770000,965.751,,40.411,4967.17,worm_sac_run1,unknown,sac,1401.5799382481234,1739.39453125,0.023209575978900387,86.0,642.7681372362548,1150.6953125
1800000,983.502,,48.856,5052.45,worm_sac_run1,unknown,sac,1402.2864245736937,1739.39453125,0.02281611487834065,86.0,644.0706038716594,1150.6953125
1830000,943.391,,61.999,5137.629,worm_sac_run1,unknown,sac,1403.1083382882994,1739.39453125,0.022440172616712436,86.0,647.2124577040016,1150.6953125
1860000,972.725,,56.155,5222.201,worm_sac_run1,unknown,sac,1403.886240833655,1739.39453125,0.02207641837128522,86.0,650.0635493052876,1150.6953125
1890000,1022.836,,54.221,5304.609,worm_sac_run1,unknown,sac,1404.5655779439007,1739.39453125,0.02173665209956299,86.0,652.7266241034106,1150.6953125
1920000,979.103,,62.179,5391.898,worm_sac_run1,unknown,sac,1405.4741311331775,1739.39453125,0.02138317757009346,86.0,655.4563668224299,1150.6953125
1950000,1018.088,,45.452,5480.41,worm_sac_run1,unknown,sac,1406.3865327038893,1739.39453125,0.02103714600956234,86.0,658.191999586245,1150.6953125
1980000,1045.545,,48.856,5581.607,worm_sac_run1,unknown,sac,1407.2780067826832,1739.39453125,0.020657276995305167,86.0,662.3400031599856,1150.6953125
2010000,1048.711,,55.527,5692.216,worm_sac_run1,unknown,sac,1408.2624782793962,1739.39453125,0.020258544359837084,86.0,667.5881960277582,1150.6953125
2040000,1039.386,,39.557,5789.901,worm_sac_run1,unknown,sac,1409.0311704332782,1739.39453125,0.019916434540389973,86.0,672.6796718586786,1150.6953125
2070000,1057.56,,56.097,5892.288,worm_sac_run1,unknown,sac,1409.8669509600581,1739.39453125,0.01956893602463223,86.0,677.0111387594081,1150.6953125
2100000,1069.932,,51.301,5986.245,worm_sac_run1,unknown,sac,1410.6326158391564,1739.39453125,0.019262502104731436,86.0,680.4686006956138,1150.6953125
2130000,1060.065,,48.375,6086.29,worm_sac_run1,unknown,sac,1411.3815910690626,1739.39453125,0.018946671083140115,86.0,685.1568878871315,1150.6953125
2160000,1077.201,,42.204,6182.627,worm_sac_run1,unknown,sac,1412.0388058199494,1739.39453125,0.018653187673243112,86.0,691.1526157162074,1205.4921875
2190000,1056.138,,44.257,6284.849,worm_sac_run1,unknown,sac,1412.6293090918205,1739.39453125,0.01834803528468324,86.0,696.9986429931837,1205.4921875
2220000,1085.489,,58.938,6382.844,worm_sac_run1,unknown,sac,1413.122668711505,1739.39453125,0.0180669614655717,86.0,702.4942492004895,1302.1953125
2250000,1089.536,,71.558,6478.452,worm_sac_run1,unknown,sac,1413.5886585644546,1739.39453125,0.017799906643846276,86.0,706.8913209166408,1302.1953125
2280000,1112.59,,51.34,6633.339,worm_sac_run1,unknown,sac,1414.2968542220744,1739.39453125,0.01738601823708207,86.0,711.8868321381079,1302.1953125
2310000,1114.884,,58.931,6741.319,worm_sac_run1,unknown,sac,1414.5651894534171,1739.39453125,0.017107821145506207,86.0,715.2439008290339,1302.1953125
2340000,1072.245,,73.236,6824.215,worm_sac_run1,unknown,sac,1414.8659410086423,1739.39453125,0.01690057615600532,86.0,719.0348827143965,1302.1953125
2370000,1071.355,,54.943,6916.815,worm_sac_run1,unknown,sac,1415.2046508344265,1739.39453125,0.016673954234076666,86.0,722.6281034789025,1302.1953125
2400000,1120.074,,65.21,7002.035,worm_sac_run1,unknown,sac,1415.5217102006839,1739.39453125,0.016472282217422606,86.0,724.3207090307775,1302.1953125
2430000,1122.791,,57.373,7087.811,worm_sac_run1,unknown,sac,1415.73835681899,1739.39453125,0.016273115220483643,86.0,726.9953252800498,1302.1953125
2460000,1121.95,,60.185,7182.092,worm_sac_run1,unknown,sac,1416.0191342644582,1739.39453125,0.016058394160583942,86.0,729.2093336564781,1302.1953125
2490000,1139.3,,58.773,7276.186,worm_sac_run1,unknown,sac,1416.3502726851532,1739.39453125,0.01585146182624359,86.0,733.4768336696342,1302.1953125
2520000,1146.459,,51.8,7371.91,worm_sac_run1,unknown,sac,1416.602087642745,1739.39453125,0.01564551422319475,86.0,736.2444392565303,1302.1953125
2550000,1114.556,,78.127,7456.394,worm_sac_run1,unknown,sac,1416.8561727834303,1739.39453125,0.015467820443482964,86.0,738.6722346749932,1303.1875
2580000,1127.84,,60.995,7544.664,worm_sac_run1,unknown,sac,1417.1441595742015,1739.39453125,0.015287986101830818,86.0,742.3927657899573,1354.8125
2610000,1127.067,,54.814,7629.907,worm_sac_run1,unknown,sac,1417.4545919083641,1739.39453125,0.015116279069767443,86.0,745.0016873059262,1354.8125
2640000,1148.843,,52.625,7716.216,worm_sac_run1,unknown,sac,1417.704378593362,1739.39453125,0.014948386253756697,86.0,747.1384429512937,1354.8125
2670000,1162.701,,51.112,7805.367,worm_sac_run1,unknown,sac,1417.9508948753553,1739.39453125,0.014776543528803927,86.0,749.0968746972682,1354.8125
2700000,1162.67,,50.389,7885.5,worm_sac_run1,unknown,sac,1418.1912209516047,1739.39453125,0.014627285513361463,86.0,749.7659601353727,1354.8125
2730000,1160.687,,53.989,7973.145,worm_sac_run1,unknown,sac,1418.3631780119815,1739.39453125,0.014466363176530097,86.0,750.444275674159,1354.8125
2760000,1194.134,,59.335,8052.597,worm_sac_run1,unknown,sac,1418.44595416771,1739.39453125,0.0143232753223989,86.0,751.000989400745,1354.8125
2790000,1192.816,,70.887,8131.942,worm_sac_run1,unknown,sac,1418.5500223740082,1739.39453125,0.014182990329779321,86.0,751.2158486432246,1354.8125
2820000,1159.218,,63.316,8212.694,worm_sac_run1,unknown,sac,1418.6778777544193,1739.39453125,0.014043702430640806,86.0,751.4772937829916,1354.8125
2850000,1214.14,,73.018,8293.679,worm_sac_run1,unknown,sac,1418.839653803489,1739.39453125,0.013907123753950888,86.0,752.0563955940007,1354.8125
2880000,1154.726,,54.056,8374.943,worm_sac_run1,unknown,sac,1418.9451963377378,1739.39453125,0.013773176017336866,86.0,752.730425012792,1354.8125
2910000,1188.398,,50.234,8455.206,worm_sac_run1,unknown,sac,1419.0446763951825,1739.39453125,0.01364178392559027,86.0,752.724530187962,1354.8125
2940000,1200.021,,54.107,8535.88,worm_sac_run1,unknown,sac,1419.2298869189995,1739.39453125,0.013512875029529884,86.0,753.0215757330794,1354.8125
2970000,1226.073,,74.151,8617.168,worm_sac_run1,unknown,sac,1419.3654053248597,1739.39453125,0.01338637959279195,86.0,753.3936970695355,1354.8125
3000000,1261.913,,56.612,8696.737,worm_sac_run1,unknown,sac,1419.4489855072463,1739.39453125,0.013263768115942029,86.0,753.7052912137681,1354.8125
3030000,1220.892,,56.511,8778.1,worm_sac_run1,unknown,sac,1419.5732711276705,1739.39453125,0.013140362968068,86.0,753.5718941139731,1354.8125
3060000,1210.058,,57.848,8858.398,worm_sac_run1,unknown,sac,1419.7890553856005,1739.39453125,0.013022196926579398,86.0,753.7366974068013,1354.8125
3090000,1224.238,,76.365,8946.032,worm_sac_run1,unknown,sac,1419.862489168874,1739.39453125,0.012894499549143373,86.0,754.9102967024064,1354.8125
3120000,1243.817,,80.904,9029.073,worm_sac_run1,unknown,sac,1419.9408614251815,1739.39453125,0.0127749860413177,86.0,756.192760678392,1354.8125
3150000,1225.584,,65.824,9111.274,worm_sac_run1,unknown,sac,1420.0875702917497,1739.39453125,0.012660469234174415,86.0,757.4216065425796,1354.8125
3180000,1237.003,,44.791,9200.619,worm_sac_run1,unknown,sac,1420.2811404109589,1739.39453125,0.012536986301369863,86.0,759.0421434075342,1354.8125
3210000,1227.476,,61.991,9285.536,worm_sac_run1,unknown,sac,1420.4047221128787,1739.39453125,0.012422630035834511,86.0,760.2530324444837,1354.8125
3240000,1268.607,,75.594,9374.928,worm_sac_run1,unknown,sac,1420.54678551503,1739.39453125,0.012303721230372124,86.0,762.1611321823242,1354.8125
3270000,1239.327,,54.902,9469.652,worm_sac_run1,unknown,sac,1420.7569755949846,1739.39453125,0.012181876264508572,86.0,763.5389314736184,1354.8125
3300000,1277.98,,57.628,9559.504,worm_sac_run1,unknown,sac,1420.9315631592826,1739.39453125,0.012067510548523208,86.0,764.6404107331224,1354.8125
3330000,1229.711,,66.981,9644.946,worm_sac_run1,unknown,sac,1421.1129553548092,1739.39453125,0.011960271824359645,86.0,765.7249473176947,1354.8125
3360000,1233.683,,58.312,9731.712,worm_sac_run1,unknown,sac,1421.3181215839031,1739.39453125,0.011853693917728734,86.0,766.8591390302819,1354.8125
3390000,1215.903,,61.001,9823.051,worm_sac_run1,unknown,sac,1421.4756214233473,1739.39453125,0.01174296858961199,86.0,768.089453205194,1354.8125
3420000,1247.685,,65.135,9909.181,worm_sac_run1,unknown,sac,1421.589658911672,1739.39453125,0.011641396153454768,86.0,769.4048130310624,1354.8125
3450000,1250.681,,76.118,9999.255,worm_sac_run1,unknown,sac,1421.725373213115,1739.39453125,0.011536910044372732,86.0,770.121513683693,1354.8125
3480000,1273.547,,61.482,10086.732,worm_sac_run1,unknown,sac,1421.898037619964,1739.39453125,0.011436569029291212,86.0,770.4975733842348,1354.8125
3510000,1251.747,,57.531,10175.49,worm_sac_run1,unknown,sac,1422.0368618230355,1739.39453125,0.011336834803290062,86.0,770.7619513985235,1354.8125
3540000,1280.485,,47.182,10259.614,worm_sac_run1,unknown,sac,1422.1727902334153,1739.39453125,0.011243243243243243,86.0,771.1049608415234,1354.8125
3570000,1259.984,,73.66,10348.679,worm_sac_run1,unknown,sac,1422.3385614586377,1739.39453125,0.01114683815648446,86.0,771.4639336999415,1354.8125
3600000,1274.361,,55.186,10434.61,worm_sac_run1,unknown,sac,1422.4906613143844,1739.39453125,0.011055276381909548,86.0,772.0855652964341,1354.8125
3630000,1264.679,,83.654,10522.394,worm_sac_run1,unknown,sac,1422.5775608678725,1739.39453125,0.010963104935313848,86.0,772.1922713524198,1354.8125
3660000,1290.491,,82.007,10612.882,worm_sac_run1,unknown,sac,1422.6416801514251,1739.39453125,0.01086935866983373,86.0,772.009210956057,1354.8125
3690000,1302.032,,64.638,10702.001,worm_sac_run1,unknown,sac,1422.733002862056,1739.39453125,0.010779233016112316,86.0,771.8623452664185,1354.8125
3720000,1278.298,,59.591,10791.087,worm_sac_run1,unknown,sac,1422.8457202800878,1739.39453125,0.010689590730704543,86.0,772.1240926053541,1354.8125
3750000,1286.325,,76.723,10879.847,worm_sac_run1,unknown,sac,1422.904468474861,1739.39453125,0.010602409638554217,86.0,773.162733868165,1354.8125
3780000,1271.759,,69.668,10975.968,worm_sac_run1,unknown,sac,1422.9622208027101,1739.39453125,0.010509875976113919,86.0,774.950700146417,1354.8125
3810000,1258.558,,67.603,11070.324,worm_sac_run1,unknown,sac,1423.078489365094,1739.39453125,0.010420841683366733,86.0,777.0713002709965,1354.8125
3840000,1265.818,,60.603,11157.215,worm_sac_run1,unknown,sac,1423.1521252061868,1739.39453125,0.010339840925524223,86.0,777.3173323249955,1354.8125
3870000,1267.048,,49.621,11245.896,worm_sac_run1,unknown,sac,1423.2504609599175,1739.39453125,0.010258249641319944,86.0,777.3117626742961,1354.8125
3900000,1262.965,,66.239,11335.943,worm_sac_run1,unknown,sac,1423.3383175290232,1739.39453125,0.01017703051329953,86.0,777.6352161590384,1354.8125
3930000,1263.747,,83.382,11421.141,worm_sac_run1,unknown,sac,1423.483004053174,1739.39453125,0.010100653363941375,86.0,778.0732406354847,1354.8125
3960000,1280.652,,68.88,11515.317,worm_sac_run1,unknown,sac,1423.5381159553158,1739.39453125,0.010018390401961643,86.0,778.8029305598126,1354.8125
3990000,1300.313,,76.147,11607.938,worm_sac_run1,unknown,sac,1423.5727310425898,1739.39453125,0.009938319867952393,86.0,778.6533899639476,1354.8125
4020000,1296.561,,71.869,11696.531,worm_sac_run1,unknown,sac,1423.6497293678335,1739.39453125,0.009862919217173895,86.0,779.175882955966,1354.8125
4050000,1289.12,,62.757,11784.086,worm_sac_run1,unknown,sac,1423.7763636776913,1739.39453125,0.009789491699469452,86.0,780.1533950212862,1354.8125
4080000,1304.369,,58.793,11871.739,worm_sac_run1,unknown,sac,1423.9109263516095,1739.39453125,0.009717149409666186,86.0,780.7458402568377,1354.8125
4110000,1287.303,,49.935,11957.478,worm_sac_run1,unknown,sac,1424.0573198868908,1739.39453125,0.009647495361781076,86.0,781.4668400288834,1354.8125
4140000,1314.854,,56.314,12039.18,worm_sac_run1,unknown,sac,1424.200599793743,1739.39453125,0.009582042047072619,86.0,781.3799231379303,1354.8125
4170000,1269.277,,69.385,12121.022,worm_sac_run1,unknown,sac,1424.281727719426,1739.39453125,0.009517470881863561,86.0,781.112459702579,1354.8125
4200000,1304.331,,110.334,12204.934,worm_sac_run1,unknown,sac,1424.352678248678,1739.39453125,0.009452201933404942,86.0,781.0914374922539,1354.8125
4230000,1268.94,,82.762,12288.807,worm_sac_run1,unknown,sac,1424.4056851868947,1739.39453125,0.009387822090924012,86.0,780.9366569475218,1354.8125
4260000,1292.204,,62.715,12382.522,worm_sac_run1,unknown,sac,1424.4985445806865,1739.39453125,0.009316719602573499,86.0,780.5031726550411,1354.8125
4290000,1318.103,,58.17,12474.434,worm_sac_run1,unknown,sac,1424.6301753865198,1739.39453125,0.009248181083265966,86.0,780.2902372170574,1354.8125
4320000,1324.825,,58.819,12561.484,worm_sac_run1,unknown,sac,1424.7451908844132,1739.39453125,0.009184328837508028,86.0,780.2580006623314,1354.8125
4350000,1313.395,,55.039,12654.17,worm_sac_run1,unknown,sac,1424.8947370223343,1739.39453125,0.009116990755498884,86.0,781.0048143254901,1354.8125
4380000,1331.865,,57.449,12737.279,worm_sac_run1,unknown,sac,1425.0159410626634,1739.39453125,0.00905708178291505,86.0,781.0403425228604,1354.8125
4410000,1311.696,,63.137,12819.404,worm_sac_run1,unknown,sac,1425.1116974856434,1739.39453125,0.008999370673379484,86.0,781.0546214329963,1354.8125
4440000,1334.672,,81.748,12902.021,worm_sac_run1,unknown,sac,1425.2225255735111,1739.39453125,0.008941691417852119,86.0,781.1038380417579,1354.8125
4470000,1299.271,,62.646,12984.903,worm_sac_run1,unknown,sac,1425.3535283667288,1739.39453125,0.008884746815781299,86.0,781.1303639644493,1354.8125
4500000,1295.62,,92.264,13071.921,worm_sac_run1,unknown,sac,1425.4517212573292,1739.39453125,0.008825798487887672,86.0,781.1938590326531,1354.8125
4530000,1335.337,,65.662,13159.895,worm_sac_run1,unknown,sac,1425.5557186901342,1739.39453125,0.008766283524904215,86.0,781.2460425646552,1354.8125
4560000,1325.5,,56.673,13245.911,worm_sac_run1,unknown,sac,1425.6691360154168,1739.39453125,0.008709554625047583,86.0,781.0261785663304,1354.8125
4590000,1275.402,,72.347,13329.441,worm_sac_run1,unknown,sac,1425.7601598554056,1739.39453125,0.008654864578604933,86.0,780.874090669447,1354.8125
4620000,1316.052,,67.527,13414.065,worm_sac_run1,unknown,sac,1425.8222873557547,1739.39453125,0.008600210494662457,86.0,780.6281019184145,1354.8125
4650000,1347.329,,52.11,13499.644,worm_sac_run1,unknown,sac,1425.8527125471576,1739.39453125,0.008546242342746153,86.0,780.2871082077357,1354.8125
4680000,1290.609,,77.926,13585.091,worm_sac_run1,unknown,sac,1425.9136124591716,1739.39453125,0.008492316828743227,86.0,780.051862855857,1354.8125
4710000,1326.791,,54.707,13672.197,worm_sac_run1,unknown,sac,1425.9945398364314,1739.39453125,0.008438445083720587,86.0,779.8843756338977,1354.8125
4740000,1322.87,,62.448,13757.052,worm_sac_run1,unknown,sac,1426.0263838680266,1739.39453125,0.008386481929477312,86.0,779.4737908121655,1354.8125
4770000,1352.924,,57.751,13843.332,worm_sac_run1,unknown,sac,1426.1256923512967,1739.39453125,0.008333940409412108,86.0,779.1095796036096,1354.8125
4800000,1327.532,,67.274,13930.956,worm_sac_run1,unknown,sac,1426.242055444205,1739.39453125,0.008281453597799334,86.0,778.7593895346207,1354.8125
4830000,1305.521,,60.536,14014.554,worm_sac_run1,unknown,sac,1426.3126248110966,1739.39453125,0.00823258491652274,86.0,778.3248059805879,1354.8125
4860000,1287.086,,83.337,14110.646,worm_sac_run1,unknown,sac,1426.3398836723663,1739.39453125,0.008176100628930818,86.0,777.9235520185641,1354.8125
4890000,1339.434,,55.829,14215.137,worm_sac_run1,unknown,sac,1426.4047035739625,1739.39453125,0.008116353316779,86.0,777.530028655995,1354.8125
4920000,1334.573,,62.362,14309.224,worm_sac_run1,unknown,sac,1426.486537368727,1739.39453125,0.008063151959402312,86.0,777.2623010532668,1354.8125
4950000,1330.583,,52.651,14397.161,worm_sac_run1,unknown,sac,1426.5756408712784,1739.39453125,0.008014010507880911,86.0,776.9950320161996,1354.8125
4980000,1393.369,,55.998,14509.356,worm_sac_run1,unknown,sac,1426.6295502775943,1739.39453125,0.007951622992979773,86.0,777.4049369656634,1354.8125
5010000,1345.526,,60.329,14632.846,worm_sac_run1,unknown,sac,1426.7365748737852,1739.39453125,0.007884761182714178,86.0,778.3928272968502,1354.8125
