step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.359,,0.49,26.64,613.4716145833333,796.87890625,6.733333333333333,99.4,1102.3591145833334,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.231,,0.411,48.895,722.7771935096154,915.58984375,3.8846153846153846,99.4,1105.4033954326924,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.421887755393982,0.017268585041165352,0.008195744827389717
90000,0.356,,0.514,71.329,768.9549725506756,916.640625,2.72972972972973,99.4,1106.5395903716217,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4236997365951538,0.016841229051351547,0.001477482495829463
120000,0.426,,0.674,93.842,795.3048083118557,918.0234375,2.082474226804124,99.4,1105.3131443298969,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4241504669189453,0.01777665875852108,0.0011718457099050283
150000,0.412,,0.682,116.218,810.9363839285714,918.0234375,1.6974789915966386,99.4,1103.8672531512605,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4244688749313354,0.018957599997520447,0.0012615203158929944
180000,0.21,,0.365,138.376,821.5849124556737,918.05078125,1.4326241134751774,99.4,1102.8725620567377,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4230347871780396,0.015562442131340504,0.0011977377580478787
210000,0.535,,0.801,161.018,829.3969277223927,918.43359375,1.2392638036809815,99.4,1102.1463765337423,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.424541711807251,0.018579302355647087,0.0007164128473959863
240000,1.069,,1.095,182.97,834.3399915540541,918.43359375,1.0918918918918918,99.4,1101.5929054054054,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4256783723831177,0.018147721886634827,0.0013960162177681923
270000,0.914,,1.098,205.076,839.3432593599034,919.90625,0.9758454106280192,99.4,1101.1570803140096,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4252021312713623,0.015681225806474686,0.002790861064568162
300000,1.121,,1.359,227.168,843.7450020469432,919.90625,0.8820960698689956,99.4,1100.411708515284,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4241511821746826,0.014669937081634998,0.0026996973901987076
330000,1.521,,1.821,249.279,847.4972920816733,919.90625,0.8047808764940239,99.4,1099.796999501992,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4229586124420166,0.018130281940102577,0.0035578033421188593
360000,1.577,,1.862,271.41,850.5668068910256,920.7265625,0.73992673992674,99.4,1099.2813644688645,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4229050874710083,0.01724257506430149,0.004802223294973373
390000,2.436,,2.145,293.224,852.9255288052722,922.03515625,0.6870748299319728,99.4,1098.8611553996598,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4227983951568604,0.01791038177907467,0.004947370383888483
420000,2.887,,2.731,315.105,855.0824515427215,922.03515625,0.6392405063291139,99.4,1098.480839596519,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4209502935409546,0.01655852608382702,0.007820002734661102
450000,3.786,,3.508,336.761,857.0092498145401,922.03515625,0.599406528189911,99.4,1098.1641320474778,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4195841550827026,0.017186034470796585,0.008949385955929756
480000,6.853,,5.065,358.757,858.7328951949861,922.03515625,0.5626740947075209,99.4,1097.872083913649,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.417791724205017,0.022332187741994858,0.01273262593895197
510000,6.418,,5.859,381.184,859.9225824311023,922.03515625,0.5301837270341208,99.4,1097.6137631233596,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.414731740951538,0.01764954999089241,0.0229401346296072
540000,11.239,,7.037,403.025,860.0135313275434,922.03515625,0.5012406947890818,99.4,1097.3836460918114,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.411892056465149,0.01623687706887722,0.026286067441105843
570000,14.645,,8.692,425.003,860.15734375,922.03515625,0.4752941176470588,99.4,1097.1773529411764,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4086450338363647,0.017649440094828606,0.04802887141704559
600000,19.376,,10.966,446.971,860.3613412332214,922.03515625,0.4519015659955257,99.4,1096.9913660514542,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4056060314178467,0.016364403069019318,0.07083296775817871
630000,27.546,,10.075,468.827,860.629390357906,922.03515625,0.4316239316239316,99.4,1096.8301448985044,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4017466306686401,0.01896826922893524,0.094491146504879
660000,29.12,,11.226,490.688,860.8684470663266,922.03515625,0.4122448979591837,99.4,1096.676068239796,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3980967998504639,0.018224334344267845,0.12814335525035858
690000,35.652,,16.899,512.551,861.223856409002,922.03515625,0.3953033268101761,99.4,1096.5413710861058,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3934117555618286,0.0161672942340374,0.16175217926502228
720000,47.283,,16.703,534.493,861.371709369137,922.03515625,0.3789868667917448,99.4,1096.4116439962477,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3879033327102661,0.016344301402568817,0.19435139000415802
750000,56.125,,18.87,556.491,861.569728322072,922.03515625,0.3639639639639639,99.4,1096.2922015765766,1114.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3831775188446045,0.018048712983727455,0.2892168462276459
780000,60.974,,22.712,578.985,861.7659093370884,922.03515625,0.3500866551126516,99.4,1096.497806542461,1140.28125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3782851696014404,0.016964387148618698,0.33235886693000793
810000,75.815,,16.955,601.259,861.9572334098498,922.03515625,0.337228714524207,99.4,1098.4764712020033,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3727772235870361,0.01886340230703354,0.3731912076473236
840000,82.704,,18.806,623.202,862.1801278180354,922.03515625,0.3252818035426731,99.4,1099.809254227053,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.366429090499878,0.018353037536144257,0.4958976209163666
870000,92.592,,32.893,645.202,862.4030363044324,922.03515625,0.3141524105754277,99.4,1099.3672239502332,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3609530925750732,0.013184408657252789,0.5369511246681213
900000,101.968,,31.984,667.169,862.6585526315789,922.03515625,0.3037593984962406,99.4,1098.9464520676693,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3560987710952759,0.01319664902985096,0.6514512300491333
930000,118.023,,16.931,689.199,862.7917729591836,922.03515625,0.2944606413994169,99.4,1098.569982233965,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3504467010498047,0.01785978488624096,0.6606199741363525
960000,110.798,,37.767,711.378,863.2354177701271,922.03515625,0.2853107344632768,99.4,1098.199538753531,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3456246852874756,0.016069181263446808,0.7825743556022644
990000,136.298,,30.479,734.176,863.3778107900137,922.03515625,0.2763337893296854,99.4,1097.8360978112175,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3406504392623901,0.01725047640502453,0.7464690804481506
1020000,146.836,,30.01,756.821,863.5921107237716,922.03515625,0.2682602921646746,99.4,1097.5092338977424,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3356398344039917,0.014004245400428772,1.0229791402816772
1050000,153.63,,31.248,778.856,863.8288911290323,922.03515625,0.2606451612903225,99.4,1097.200927419355,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3313699960708618,0.016045864671468735,1.0497440099716187
1080000,157.978,,27.245,800.767,863.7433882920326,922.03515625,0.2534504391468005,99.4,1096.909641624843,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3270074129104614,0.019044602289795876,1.1650686264038086
1110000,166.982,,39.236,822.888,863.9440533424909,922.03515625,0.2466422466422466,99.4,1096.634004884005,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3230708837509155,0.017269182950258255,1.0793653726577759
1140000,176.155,,28.202,844.988,864.1439878121284,922.03515625,0.2401902497027348,99.4,1096.3727890903683,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3195641040802002,0.015236984938383102,1.28425931930542
1170000,162.292,,43.29,866.963,864.3451140153712,922.03515625,0.2343387470997679,99.4,1096.1358849332946,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3162024021148682,0.017246657982468605,1.472777247428894
1200000,188.852,,30.649,889.151,864.4501643806561,922.03515625,0.2285067873303167,99.4,1095.8997719881222,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3136138916015625,0.018230758607387543,1.584646463394165
1230000,187.707,,28.25,911.167,864.6113238134658,922.03515625,0.2229580573951435,99.4,1095.675125896799,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3117320537567139,0.014427202753722668,2.0923008918762207
1260000,187.512,,36.937,933.068,864.7378939924569,922.03515625,0.2176724137931034,99.4,1095.4611311287715,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3089653253555298,0.016600847244262695,2.101773262023926
1290000,175.435,,36.682,955.253,864.8757771381579,922.03515625,0.2126315789473684,99.4,1095.2570476973683,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3061964511871338,0.016948815435171127,2.115464687347412
1320000,192.46,,31.927,977.17,865.0490893454219,922.03515625,0.2078189300411522,99.4,1095.0622026105966,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.304058313369751,0.014920017682015896,2.302126169204712
1350000,183.636,,35.588,999.187,865.1456995845922,922.03515625,0.2034239677744209,99.4,1094.884268001007,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.301429033279419,0.013896326534450054,2.166128158569336
1380000,208.831,,34.136,1021.145,865.2691079125616,922.03515625,0.1990147783251231,99.4,1094.7057573891625,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2995707988739014,0.020375067368149757,2.0592567920684814
1410000,206.976,,38.505,1043.037,865.3921618852459,922.03515625,0.1947926711668273,99.4,1094.5348209980714,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2971869707107544,0.01490344014018774,1.8973708152770996
1440000,223.875,,32.94,1065.114,865.5545694641171,922.03515625,0.1907459867799811,99.4,1094.3709867799812,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2951281070709229,0.016740970313549042,1.9146363735198975
1470000,215.702,,36.524,1087.243,865.6780650150324,922.03515625,0.1868640148011101,99.4,1094.2138211147087,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2932988405227661,0.01693643443286419,1.8759783506393433
1500000,234.961,,26.419,1109.24,865.8032979809437,922.03515625,0.1833030852994555,99.4,1094.0696531873866,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2913811206817627,0.018286552280187607,2.11468505859375
1530000,228.852,,40.041,1131.245,865.8932627613434,922.03515625,0.1797153024911032,99.4,1093.9243980760675,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2891943454742432,0.015202956274151802,2.033729076385498
1560000,243.744,,31.018,1153.281,865.9971265543194,922.03515625,0.1762652705061082,99.4,1093.7847199498256,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2872146368026733,0.016810083761811256,1.9761778116226196
1590000,251.179,,33.348,1175.504,866.0888839094606,922.03515625,0.172945205479452,99.4,1093.6503036708048,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2855889797210693,0.018414024263620377,1.8614219427108765
1620000,251.259,,37.825,1197.445,866.1738117121848,922.03515625,0.1697478991596638,99.4,1093.5208574054625,1151.1171875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2841674089431763,0.019450251013040543,2.152655839920044
