step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.442,,0.613,26.341,658.9233566810345,818.2109375,6.417241379310345,86.0,1226.8562769396551,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.418938398361206,,
60000,0.375,,0.594,93.75,888.7982177734375,1054.5,1.9385416666666664,86.0,1225.77587890625,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4117766618728638,0.012502209283411503,0.007103381212800741
90000,0.407,,0.53,112.762,902.4119380482456,1054.5,1.632456140350877,86.0,1225.0309073464912,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4044997692108154,,
120000,0.451,,0.749,177.935,940.4766497905028,1062.3984375,1.0396648044692738,86.0,1223.1117973114526,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.393396258354187,0.011040103621780872,0.0014856193447485566
150000,0.402,,0.516,245.454,961.990996570122,1062.3984375,0.7565040650406504,86.0,1220.6551384654472,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3902652263641357,0.012995263561606407,0.0009903444442898035
180000,0.39,,0.568,264.501,963.2514740566038,1062.3984375,0.7022641509433962,86.0,1219.9863354952831,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3870837688446045,,
210000,0.622,,0.755,330.15,973.594022253788,1062.3984375,0.563939393939394,86.0,1218.2263020833334,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.381100058555603,0.013295017182826996,0.0007579004159197211
240000,0.631,,0.711,397.004,983.1584300031566,1062.3984375,0.4699494949494949,86.0,1217.0303819444443,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3767871856689453,0.013716532848775387,0.0011263602646067739
270000,0.593,,0.717,416.04,983.0552616716868,1062.3984375,0.448433734939759,86.0,1216.7566170933735,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3724048137664795,,
300000,1.211,,0.995,480.522,988.1734162969728,1062.3984375,0.388517745302714,86.0,1215.9942507176409,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3634878396987915,0.012064008042216301,0.0013131204759702086
330000,1.123,,1.028,547.302,988.064424507784,1062.3984375,0.3408424908424908,86.0,1215.3876345009155,1234.77734375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3598954677581787,0.012555288150906563,0.0018806799780577421
