Wall time,Step,Value
1763925760.166473,10000,1201.2420654296875
1763925799.540119,20000,1201.1710205078125
1763925852.2097971,40000,1200.582275390625
1763925877.66881,50000,1201.2015380859375
1763925911.641396,60000,1201.697021484375
1763925940.212975,70000,1200.0670166015625
1763925967.392103,80000,1199.9412841796875
1763926001.123146,90000,1200.429931640625
1763926035.801182,100000,1199.919921875
1763926086.5626729,120000,1199.1688232421875
1763926112.9048939,130000,1198.9189453125
1763926151.2277608,140000,1198.9189453125
1763926176.141747,150000,1199.6768798828125
1763926205.6166148,160000,1199.0135498046875
1763926237.84185,170000,1198.930419921875
1763926270.298338,180000,1199.182373046875
1763926291.113856,190000,1199.9376220703125
1763926316.2043781,200000,1199.9376220703125
1763926365.4404638,210000,1199.9376220703125
1763926400.72018,220000,1199.4407958984375
1763926452.629473,240000,1199.9437255859375
1763926481.8061922,250000,1201.4383544921875
1763926521.0507011,260000,1202.8038330078125
1763926550.9559062,270000,1203.5994873046875
1763926571.378471,280000,1204.7738037109375
1763926610.158259,290000,1205.3287353515625
1763926633.289807,300000,1202.9739990234375
1763926662.295174,310000,1202.84765625
1763926697.548865,320000,1202.00732421875
1763926733.604237,330000,1201.7080078125
1763926750.917247,340000,1204.056884765625
1763926782.337313,350000,1204.1683349609375
1763926821.406754,360000,1203.541748046875
1763926841.994831,370000,1203.791015625
1763926876.5784268,380000,1203.791015625
1763926900.309802,390000,1203.791015625
1763926939.9245682,400000,1203.853759765625
1763926979.907881,410000,1202.326904296875
1763927016.0629241,420000,1201.90380859375
1763927035.993314,430000,1202.742431640625
1763927075.3062751,440000,1203.87060546875
1763927104.6536388,450000,1204.7398681640625
1763927136.367111,460000,1205.0201416015625
1763927166.289661,470000,1205.3438720703125
1763927182.093465,480000,1203.5849609375
1763927217.231103,490000,1202.659912109375
1763927245.535257,500000,1202.1932373046875
1763927279.562249,510000,1200.6512451171875
1763927308.285336,520000,1200.316162109375
1763927344.986615,530000,1198.8092041015625
1763927367.706867,540000,1198.5601806640625
1763927398.99662,550000,1198.710205078125
1763927425.352372,560000,1199.3157958984375
1763927465.332932,570000,1199.8212890625
1763927479.810786,580000,1199.820068359375
1763927520.284885,590000,1197.951904296875
1763927552.659745,600000,1196.6212158203125
1763927596.497804,610000,1196.7335205078125
1763927629.3194618,620000,1196.0653076171875
1763927653.193862,630000,1195.644775390625
1763927695.1778271,640000,1193.389892578125
1763927714.8486989,650000,1192.449462890625
1763927749.031638,660000,1192.6168212890625
1763927783.020246,670000,1192.8753662109375
1763927814.365899,680000,1192.4041748046875
1763927836.480327,690000,1193.437744140625
1763927876.80624,700000,1192.9481201171875
1763927893.097929,710000,1193.7208251953125
1763927928.042797,720000,1194.36669921875
1763927954.094893,730000,1194.898681640625
1763927988.0278,740000,1196.1739501953125
1763928018.171254,750000,1195.8287353515625
1763928043.810773,760000,1194.327880859375
1763928076.894121,770000,1194.966552734375
1763928107.857301,780000,1195.2197265625
1763928163.699727,800000,1194.301025390625
1763928207.211482,810000,1194.0528564453125
1763928238.557506,820000,1195.892822265625
1763928265.5016189,830000,1196.275146484375
1763928294.556261,840000,1196.275146484375
1763928336.565923,850000,1196.2198486328125
1763928351.629212,860000,1197.443115234375
1763928394.877463,870000,1198.40087890625
1763928415.570154,880000,1198.572509765625
1763928450.214313,890000,1197.417236328125
1763928471.859305,900000,1197.2418212890625
1763928515.543158,910000,1194.1224365234375
1763928542.457335,920000,1191.4102783203125
1763928566.082747,930000,1192.328125
1763928593.270692,940000,1194.4090576171875
1763928621.731008,950000,1195.770263671875
1763928650.1608121,960000,1196.45458984375
1763928681.682366,970000,1196.2230224609375
1763928719.516829,980000,1196.0380859375
1763928738.337585,990000,1195.5499267578125
1763928771.4086862,1000000,1196.6873779296875
1763928815.27897,1010000,1198.995849609375
1763928842.050057,1020000,1201.5672607421875
1763928875.015293,1030000,1203.5833740234375
1763928905.622839,1040000,1206.2879638671875
1763928930.8693419,1050000,1207.216796875
1763928972.257149,1060000,1209.2689208984375
1763928990.07758,1070000,1212.14306640625
1763929025.631213,1080000,1216.775146484375
1763929048.561625,1090000,1220.828369140625
1763929086.8130062,1100000,1222.246337890625
1763929106.496664,1110000,1223.5977783203125
1763929135.748131,1120000,1219.328125
1763929180.325365,1130000,1225.00439453125
1763929191.0417652,1140000,1227.905029296875
1763929233.9052238,1150000,1227.0703125
1763929255.193738,1160000,1231.33740234375
1763929299.771595,1170000,1232.4765625
1763929322.400457,1180000,1235.4534912109375
1763929359.6198342,1190000,1234.2908935546875
1763929376.860669,1200000,1235.001708984375
1763929424.818072,1210000,1237.8265380859375
1763929453.276722,1220000,1237.975341796875
1763929488.9928498,1230000,1236.1103515625
1763929508.014088,1240000,1237.74365234375
1763929543.5275662,1250000,1240.1484375
1763929571.704981,1260000,1241.6998291015625
1763929605.182218,1270000,1241.9287109375
1763929630.138709,1280000,1241.1846923828125
1763929669.627202,1290000,1240.309326171875
1763929691.308579,1300000,1239.6343994140625
1763929721.249408,1310000,1243.791015625
1763929760.841679,1320000,1251.472900390625
1763929782.242592,1330000,1255.45068359375
1763929817.522388,1340000,1252.7012939453125
1763929837.1472309,1350000,1249.1829833984375
1763929878.012685,1360000,1245.062744140625
1763929899.501754,1370000,1248.654541015625
1763929943.220884,1380000,1252.1925048828125
1763929967.016438,1390000,1253.4649658203125
1763930009.520833,1400000,1252.217529296875
1763930040.051788,1410000,1251.9976806640625
1763930073.332884,1420000,1253.173583984375
1763930091.3819242,1430000,1253.440185546875
1763930135.394152,1440000,1256.25537109375
1763930155.351892,1450000,1258.858642578125
1763930190.983933,1460000,1258.5960693359375
1763930219.237967,1470000,1260.2144775390625
1763930256.0472372,1480000,1262.2607421875
1763930277.264601,1490000,1261.694580078125
1763930313.47944,1500000,1262.95654296875
1763930340.7284522,1510000,1265.55615234375
1763930369.8273652,1520000,1266.2767333984375
1763930405.184478,1530000,1265.5538330078125
1763930428.858274,1540000,1271.1893310546875
1763930454.2327812,1550000,1279.2965087890625
1763930482.752689,1560000,1280.937255859375
1763930515.615187,1570000,1281.273681640625
1763930543.1007822,1580000,1287.6192626953125
1763930575.595069,1590000,1291.2811279296875
1763930602.7296152,1600000,1298.21142578125
1763930646.373659,1610000,1299.7181396484375
1763930670.930979,1620000,1302.432373046875
1763930708.936695,1630000,1303.5684814453125
1763930730.8479722,1640000,1308.008056640625
1763930769.4470122,1650000,1300.0634765625
1763930790.572011,1660000,1304.2236328125
1763930829.422823,1670000,1310.1312255859375
1763930855.818974,1680000,1315.3984375
1763930892.421509,1690000,1315.361328125
1763930919.009047,1700000,1315.948974609375
1763930952.4337542,1710000,1323.4420166015625
1763930983.189427,1720000,1328.5430908203125
1763931012.237546,1730000,1333.1136474609375
1763931039.824885,1740000,1332.9990234375
1763931077.043563,1750000,1338.3472900390625
1763931104.60232,1760000,1335.0281982421875
1763931141.429684,1770000,1337.3907470703125
1763931166.215014,1780000,1340.1876220703125
1763931202.271747,1790000,1335.28955078125
1763931227.424633,1800000,1330.47998046875
1763931257.4460108,1810000,1329.84228515625
1763931289.716842,1820000,1318.9005126953125
1763931319.039022,1830000,1322.718505859375
1763931352.566844,1840000,1326.498046875
1763931380.111511,1850000,1329.1783447265625
1763931415.279076,1860000,1318.9779052734375
1763931441.23213,1870000,1329.6182861328125
1763931476.803969,1880000,1329.9598388671875
1763931503.4780512,1890000,1328.2081298828125
1763931539.861241,1900000,1330.1875
1763931566.682695,1910000,1338.07958984375
1763931603.115048,1920000,1332.815673828125
1763931628.4012969,1930000,1324.9315185546875
1763931665.206208,1940000,1325.0816650390625
1763931691.497993,1950000,1325.3179931640625
1763931727.7087932,1960000,1328.596923828125
1763931755.0055318,1970000,1349.3016357421875
1763931789.612283,1980000,1351.920166015625
1763931816.7780201,1990000,1350.4473876953125
1763931853.611298,2000000,1359.7811279296875
1763931881.641124,2010000,1363.1519775390625
1763931916.6623418,2020000,1362.4085693359375
1763931944.0192482,2030000,1365.263671875
1763931980.0338051,2040000,1369.0382080078125
1763932007.167964,2050000,1370.370361328125
1763932042.1398668,2060000,1375.2432861328125
1763932069.687627,2070000,1379.585205078125
1763932104.067019,2080000,1378.1446533203125
1763932130.04169,2090000,1372.761962890625
1763932166.194113,2100000,1362.872802734375
1763932194.774323,2110000,1359.204833984375
1763932229.0143511,2120000,1368.8148193359375
1763932255.64713,2130000,1372.2554931640625
1763932282.32372,2140000,1373.1124267578125
1763932319.1018398,2150000,1375.693359375
1763932345.669476,2160000,1372.2774658203125
1763932382.856433,2170000,1374.0572509765625
1763932409.951037,2180000,1375.9129638671875
1763932445.398317,2190000,1388.1195068359375
1763932470.445965,2200000,1399.1580810546875
1763932508.086208,2210000,1404.875732421875
1763932534.134644,2220000,1404.411865234375
1763932570.959857,2230000,1401.6888427734375
1763932595.777929,2240000,1399.882080078125
1763932631.1376798,2250000,1397.1859130859375
1763932658.5687318,2260000,1387.96435546875
1763932694.758878,2270000,1383.94091796875
1763932721.869689,2280000,1384.55078125
1763932758.763169,2290000,1392.591796875
1763932784.0853372,2300000,1388.156005859375
1763932820.463945,2310000,1380.3419189453125
1763932846.393779,2320000,1383.280517578125
1763932881.3967779,2330000,1378.5406494140625
1763932907.97487,2340000,1387.4908447265625
1763932945.325448,2350000,1401.148193359375
1763932971.035475,2360000,1401.8511962890625
1763933007.216931,2370000,1403.41064453125
1763933032.4847832,2380000,1402.94970703125
1763933068.534212,2390000,1400.28369140625
1763933096.054543,2400000,1401.4873046875
1763933132.5599911,2410000,1400.3109130859375
1763933159.639004,2420000,1404.9739990234375
1763933195.513213,2430000,1411.787353515625
1763933221.40384,2440000,1406.8260498046875
1763933258.411125,2450000,1401.8699951171875
1763933285.404054,2460000,1403.300537109375
1763933319.757247,2470000,1396.995361328125
1763933345.8416371,2480000,1402.29052734375
1763933374.4781609,2490000,1402.5433349609375
1763933410.921665,2500000,1400.814697265625
1763933436.717354,2510000,1403.6849365234375
1763933472.704246,2520000,1404.91162109375
1763933498.855625,2530000,1402.901611328125
1763933534.408156,2540000,1402.33154296875
1763933561.6190379,2550000,1398.8607177734375
1763933597.6959722,2560000,1406.201416015625
1763933624.520041,2570000,1407.505615234375
1763933661.884126,2580000,1411.7330322265625
1763933687.504896,2590000,1408.013916015625
1763933723.990659,2600000,1402.9183349609375
1763933755.128772,2610000,1403.73583984375
1763933788.916729,2620000,1401.8785400390625
1763933816.367553,2630000,1398.9306640625
1763933852.174697,2640000,1398.3916015625
1763933879.4144871,2650000,1398.0128173828125
1763933915.093733,2660000,1393.19970703125
1763933942.0007958,2670000,1395.359130859375
1763933977.117255,2680000,1400.6278076171875
1763934005.0354402,2690000,1398.259033203125
1763934041.163023,2700000,1390.5338134765625
1763934066.843657,2710000,1403.0906982421875
1763934103.752983,2720000,1411.1510009765625
1763934129.9593759,2730000,1413.74267578125
1763934165.9165702,2740000,1411.345947265625
1763934192.856408,2750000,1410.914306640625
1763934228.44015,2760000,1417.52197265625
1763934255.507724,2770000,1419.35986328125
1763934292.844828,2780000,1424.413818359375
1763934317.958239,2790000,1425.0916748046875
1763934353.661349,2800000,1416.0496826171875
1763934383.564776,2810000,1415.479248046875
1763934419.7309031,2820000,1418.7735595703125
1763934447.665764,2830000,1419.8638916015625
1763934484.796989,2840000,1416.7139892578125
1763934509.849348,2850000,1408.5135498046875
1763934545.521597,2860000,1410.55810546875
1763934572.490672,2870000,1422.3145751953125
1763934598.664521,2880000,1427.2784423828125
1763934634.335385,2890000,1438.56005859375
1763934661.630229,2900000,1441.581787109375
1763934698.109882,2910000,1439.7476806640625
1763934725.258156,2920000,1426.5404052734375
1763934760.49396,2930000,1415.4556884765625
1763934787.0224938,2940000,1418.726806640625
1763934824.338826,2950000,1422.85107421875
1763934851.765059,2960000,1429.11572265625
1763934886.7876291,2970000,1430.5848388671875
1763934915.2856991,2980000,1425.0411376953125
1763934949.884775,2990000,1429.50537109375
1763934976.42028,3000000,1440.9578857421875
