Wall time,Step,Value
1763925760.1674151,10000,0.04827691987156868
1763925799.537125,20000,-0.025105884298682213
1763925821.806519,30000,0.0
1763925852.207018,40000,-0.04233333468437195
1763925877.666414,50000,0.18718461692333221
1763925911.638229,60000,-0.36551666259765625
1763925940.210285,70000,-0.2393454611301422
1763925967.389724,80000,0.16003333032131195
1763926001.1203399,90000,-0.00640000170096755
1763926035.7979572,100000,-0.31117144227027893
1763926056.904254,110000,0.0
1763926086.5608478,120000,-0.1818181872367859
1763926112.9028301,130000,0.10130909085273743
1763926151.224549,140000,0.0578545443713665
1763926176.139284,150000,0.019360000267624855
1763926205.614217,160000,0.005753847770392895
1763926237.8397272,170000,0.044360000640153885
1763926270.296291,180000,0.15183332562446594
1763926291.111456,190000,-0.1642545461654663
1763926316.201613,200000,-0.4000000059604645
1763926365.437799,210000,0.056422218680381775
1763926400.7168262,220000,-0.16378182172775269
1763926430.64491,230000,0.0
1763926452.6284108,240000,0.0
1763926481.804412,250000,0.29574283957481384
1763926521.047363,260000,-0.04843077436089516
1763926550.952925,270000,0.19274666905403137
1763926571.375919,280000,-0.050545454025268555
1763926610.155624,290000,0.03152941167354584
1763926633.287097,300000,-0.14334546029567719
1763926662.292788,310000,-0.2980666756629944
1763926697.546456,320000,-0.4285714328289032
1763926733.602287,330000,0.1698666661977768
1763926750.914177,340000,0.18164999783039093
1763926782.3346932,350000,-0.05908571556210518
1763926821.403546,360000,-0.02829091064631939
1763926841.993804,370000,0.0
1763926876.575211,380000,-0.10330908745527267
1763926900.307127,390000,-0.07313846051692963
1763926939.921222,400000,0.07900000363588333
1763926979.904767,410000,-0.2851478159427643
1763927016.0604281,420000,-0.06058666855096817
1763927035.9900842,430000,-0.21864615380764008
1763927075.303518,440000,-0.08839999884366989
1763927104.65092,450000,0.19277501106262207
1763927136.3648052,460000,0.18398000299930573
1763927166.28773,470000,-0.6666666865348816
1763927182.091789,480000,0.10992727428674698
1763927217.228471,490000,-0.4285714328289032
1763927245.532228,500000,-0.07673332840204239
1763927279.559817,510000,-0.038215380162000656
